IdProducto;IdCategoria;IdProveedor;IdFormaDePago;Producto;Marca;Descripcion;Precio
57;4;15;6;DESMALEZADORA A COMBUSTIÓN FS221;Stihl;Desmalezadora semiprofesional jardinería;203796
58;4;15;6;DESMALEZADORA A COMBUSTIÓN FS291;Stihl;Desmalezadora semiprofesional forestal y agrícola;154903
59;4;15;6;DESMALEZADORA A COMBUSTIÓN FS220;Stihl;Desmalezadora profesional 1,7 kW;150027
60;4;15;6;DESMALEZADORA A COMBUSTIÓN FS160;Stihl;Desmalezadora profesional 1,4 kW;224537
61;5;18;7;INODORO FERRUM BARI LARGO;Ferrum;Inodoro calidad estándar;183933
62;5;18;7;MOCHILA INODORO FERRUM BARI LARGO;Ferrum;Mochila de inodoro calidad estándar;349505
63;5;18;7;BIDET FERRUM BARI 1 AGUJERO;Ferrum;Bidet calidad estándar para monocomando;334833
64;5;18;7;BIDET FERRUM BARI 3 AGUJEROS;Ferrum;Bidet calidad estándar para grifería común;379102
65;5;18;7;BIDET PIAZZA PADOVA 1 AGUJERO;Piazza;Bidel calidad premium para monocomando;307108
66;5;18;7;BIDET PIAZZA PADOVA 3 AGUJEROS;Piazza;Bidet calidad premium para grifería común;258841
67;5;18;7;MONOCOMANDO BIDET PIAZZA ARQ;Piazza;Monocomando para bidet de 1 agujero;195105
68;5;18;7;MONOCOMANDO LAVATORIO PIAZZA ARQ;Piazza;Monocomando para bidet de 3 agujeros;282865
69;5;18;7;DUCHA PIAZZA ARQ BLACK;Piazza;Ducha con monocomando de pared color negro;222774
70;6;18;6;BACHA DE COCINA JOHNSON ACERO LUXOR SI71 SATINADA;Johnson;Bacha de cocina calidad alta 71 cm;354115
71;6;18;6;BACHA SIMPLE COCINA JOHNSON LUXOR QUADRA MINI Q55;Johnson;Bacha de cocina calidad premium 55 cm;340333
72;6;18;6;BACHA DE COCINA JOHNSON SI85 SATINADA S/D;Johnson;Bacha de cocina calidad alta 85 cm sin dosificador;208893
73;6;18;6;BACHA DE COCINA JOHNSON SI85 SATINADA C/D;Johnson;Bacha de cocina calidad alta 85 cm con dosificador;284519
74;6;18;6;MONOCOMANDO PIAZZA KITCHEN PRO;Piazza;Monocomando de cocina extensible con rociador;166115
75;6;18;6;MONOCOMANDO FV D8 AROMO;FV;Monocomando de cocina calidad premium;229767
76;6;18;6;MONOCOMANDO FV ARIZONA CROMO;FV;Monocomando de cocina calidad estándar;177316
77;6;18;6;GRIFERIA DE COCINA DOBLE COMANDO FV B1P ARIZONA PLUS;FV;Grifería doble calidad estándar;168248
78;6;18;6;MONOCOMANDO COCINA PIAZZA GOURMET ROCIADOR;Piazza;Monocomando de cocina con rociador extensible;365245
79;7;17;8;REPOSERA ALUMINIO REFORZADA PLEGABLE;Mor;Reposera de aluminio 4 posiciones;306764
80;7;17;8;JUEGO SILLONES Y MESA SIMIL RATAN;Colombraro;Juego de 4 sillones y mesa ratona color negro simil ratan;341270
81;8;15;6;TORNILLO TEL T2 6X1;TEL;Tornillo autoperforante aguja 6x1;3443
82;8;6;2;ALAMBRE RECOCIDO NAGEL NEGRO NRO 14 X 1KG;Acindar;Alambre recocido rollo x 1 kg;2713
83;8;15;2;TARUGO TEL CON TOPE N8;TEL;Tarugo con tope número 8;2312
84;8;15;3;TORNILLO TEL CAJA N8;TEL;Tornillo número 8;2720
85;8;6;1;"CLAVO PUNTA PARIS 2 1/2""";Acindar;Clavo punta paris calidad acindar;2073
86;8;15;7;"TORNILLO TEL HEXAGONAL T2 12 X 2 1/2""";TEL;Tornillo con cabeza hexagonal;3372
87;8;15;4;"TORNILLO TEL AUTOPERFORANTE MADERA NEGRO 8X3""";TEL;"Tornillo autoperforante de madera 8x3"" x 100 unidades";2161
88;8;6;8;"SOPORTE L X 2""";SC Metalúrgica;"Soporte en L de 2"" color negro";3740
89;8;14;7;TACO FISCHER TMG 5X45;Fischer;Taco Fischer para tornillo Sx8;1717
90;8;14;7;"CLAVO TECHO CON SELLO MOLETEADO 4""";De Luca;"Clavo para techo de chapa 4""";1973
91;9;16;4;LÁTEX INTERIOR DECORALBA PROFESIONAL 20 LTS;Alba;Látex de interior tono mate cubritivo y rendidor;32875
92;9;16;2;LÁTEX INTERIOR MATE PROFESIONAL 20 LTS;Sherwin Williams;Látex de interior tono mate antihongo;34688
93;9;16;4;RODILLO SIMIL LANA NRO 22;El Galgo;Rodillo sintetico Cubremas de 22 cm;12697
94;10;17;5;ESPEJO PARED 125X34 CM;Cotidiana;Espejo de pared alto blanco/negro;22131
95;10;17;5;ESPEJO MARCO GRUESO 89X69;Cotidiana;Espejo marco grueso color natural de 89 x 69 cms;28347
96;11;17;7;RACK TV 85 ROBLE DENVER;Ricchezze;Rack de tv de 129x37x52 color roble;187253
97;12;19;6;AIRE ACONDICIONADO INVERTER FRIO CALOR 5000;Midea;Aire acondicionado split inverter de 5000 frigorías;786203
98;12;19;6;AIRE ACONDICIONADO INVERTER FRIO CALOR 3000;Midea;Aire acondicionado split inverter de 3000 frigorías;894618
99;12;19;6;AIRE ACONDICIONADO INVERTER FRIO CALOR 4500 NEGRO;Samsung;Aire acondicionado split inverter de 4500 frigorías color negro;864162
100;12;19;7;ESTUFA ÑUKE MADRYN 60 14000 KC/H;Ñuke;Estufa a leña cobertura máxima 140 m2;606935
